descripcion,edad_recomendada,etiquetas_ia,execution_time,fecha,fuente,id,indicador_violencia,is_processed,model_name,nivel_riesgo,rating,sentimiento,titulo,url
"El docente de la carrera de Ingeniería Civil Matemática le aplicó una llave de judo en el cuello. En 2022 hizo lo mismo, exigiéndole una disculpa a otro estudiante para liberarlo, a pesar de sus quejas de dolor.",+18,"agresión, estrangulamiento, violencia escolar, suspensión, UFRO, acoso, denuncia",22.74,2025-04-17 23:36:26,Araucanía Diario,1,sí,True,GEMINI,alto,4.5,negativo,Suspenden a profesor acusado de estrangular a un alumno en la UFRO,https://araucaniadiario.cl/default/listar_contenido?p=1
Hijo de uno de los fundadores del afamado grupo musical adelanta detalles del show en el Restobar Lucky 7 de hoy jueves.,todo público,"música, banda, Los Viking 5, Chile, concierto, Restobar Lucky 7",2.79,2025-04-17 23:36:26,Araucanía Diario,2,no,True,GEMINI,bajo,4.2,positivo,Los Viking 5: “somos parte de la banda sonora del pueblo chileno”,https://araucaniadiario.cl/default/listar_contenido?p=1
La situación ya habría ocurrido en 2022 sin que las autoridades sancionaran al docente. Alumnos de la Facultad de Ingeniería y Ciencias llamaron a un paro hoy.,+13,"UFRO, profesor, agresión, estrangulamiento, alumno, denuncia, paro estudiantil, Facultad de Ingeniería y Ciencias, sanción, violencia escolar",24.08,2025-04-17 23:36:26,Araucanía Diario,3,sí,True,GEMINI,alto,4.2,negativo,"Acusan a profesor de la UFRO de hacer ""llave de estrangulación"" a un alumno",https://araucaniadiario.cl/default/listar_contenido?p=1
"Vecinos del sector denunciaron que en la intersección de las calles Reyes Católicos con Luis Picasso, llegando al Rodoviario en Temuco, descargan las aguas servidas que traen.",todo público,"contaminación, transporte público, aguas servidas, Temuco, denuncia vecinal, medio ambiente",1.68,2025-04-17 23:36:26,Araucanía Diario,4,no,True,GEMINI,medio,3.5,negativo,Buses interregionales son sorprendidos vaciando sus baños en plena vía pública,https://araucaniadiario.cl/default/listar_contenido?p=1
"Según declaró Patricio Marín, el exrelator y hoy juez de Temuco Roberto Herrera, habría alterado resoluciones judiciales con fechas falsas, para cubrir interceptaciones telefónicas realizadas sin autorización legal.",+13,"corrupción, justicia, delito, interceptaciones telefónicas, falsificación, denuncia, operación huracán, Temuco",22.73,2025-04-17 23:36:26,Araucanía Diario,5,no,True,GEMINI,medio,3.8,negativo,"Imputado en ""Operación Huracán"" denuncia que juez oral habría alterado pruebas",https://araucaniadiario.cl/default/listar_contenido?p=1
El parlamentario denunció la falta de oficinas de la nueva repartición y la nula experiencia de la seremi Verónica López-Videla para ejercer el cargo.,todo público,"política, seguridad, gobierno, crítica, nombramiento, improvisación, experiencia laboral",4.96,2025-04-17 23:36:26,Araucanía Diario,6,no,True,GEMINI,medio,3.5,negativo,"Diputado Becker por seremi de Seguridad: ""estamos cansados de la improvisación de este Gobierno""",https://araucaniadiario.cl/default/listar_contenido?p=1
"El médico de profesión y exdiputado del PPD es uno de los principales candidatos en la región, luego de que su expartido no presentara sus papeles en la elección anterior.",todo público,"elecciones, senado, La Araucanía, encuestas, política, PPD, Ricardo Celis, candidato",1.81,2025-04-17 23:36:26,Araucanía Diario,7,no,True,GEMINI,bajo,3.5,positivo,Ricardo Celis entre los líderes de encuesta senatorial en La Araucanía,https://araucaniadiario.cl/default/listar_contenido?p=1
"Ricardo Barría Dillems, ingeniero comercial, magister en comunicación. Editor de AraucaniaDiario, miembro de la Sociedad Interamericana de Prensa (SIP).",todo público,"publicidad, Movistar, medios, Ricardo Barría Dillems, AraucaniaDiario, SIP",2.69,2025-04-17 23:36:26,Araucanía Diario,8,no,True,GEMINI,bajo,2.5,negativo,Movistar quiere publicidad gratis,https://araucaniadiario.cl/default/listar_contenido?p=1
También participó el precandidato a senador de derecha Miguel Mellado. La organización buscará solucionar los problemas particulares de esta provincia.,todo público,"política, municipal, asociación, Malleco, Collipulli, alcaldes, Miguel Mellado, senador, derecha",4.84,2025-04-17 23:36:26,Araucanía Diario,9,no,True,GEMINI,bajo,3.0,neutro,Alcalde de Collipulli convoca a las 11 comunas de Malleco para formar asociación de alcaldes,https://araucaniadiario.cl/default/listar_contenido?p=1
"Empresas como CDJ Group, Servicios Médicos Alfa Limitada, Layner Spa y BRC Compañía Limitada, son acusadas de no otorgar vacaciones ni hacer imposiciones, entre otras faltas.",+13,"atropello laboral, denuncia, hospital, trabajadores, licitaciones, vacaciones, imposiciones, empresas, Temuco",8.89,2025-04-17 23:36:26,Araucanía Diario,10,no,True,GEMINI,medio,4.2,negativo,"Denuncian graves atropellos laborales hacia trabajadores ""licitados"" en el Hospital Regional de Temuco",https://araucaniadiario.cl/default/listar_contenido?p=1
"196 mil afiliados se han cambiado entre 2024 y 2025. No pago de licencias médicas válidamente emitidas y retención unilateral de pagos, figuran entre las denuncias.",todo público,"Isapres, Fonasa, Sistema de Salud, Cotizantes, Abusos, Fuga de afiliados, Licencias médicas, Pagos, Denuncias",1.84,2025-04-17 23:36:26,Araucanía Diario,11,no,True,GEMINI,medio,4.2,negativo,Abusos de las isapres genera fuga masiva de cotizantes a Fonasa,https://araucaniadiario.cl/default/listar_contenido?p=1
"Hoy miércoles 16 de abril a las 18:00 horas, en el Museo Identidad Lautaro, se proyectará el documental que cuenta la verdad sobre los impactos de quemar basura.",+13,"medio ambiente, documental, contaminación, salud pública, basura, quema de residuos, impacto ambiental, WTE Araucanía",1.74,2025-04-17 23:36:26,Araucanía Diario,12,no,True,GEMINI,medio,3.5,negativo,Burning Injustice: el documental que revela los riesgos de plantas como WTE Araucanía,https://araucaniadiario.cl/default/listar_contenido?p=1
"El delegado presidencial de La Araucanía desestimó así las acusaciones de la Multigremial, que denunció ayer que existen más de 12 mil hectáreas controladas por grupos violentistas.",+13,"Araucanía, seguridad, conflicto, Estado, violencia, negación, Multigremial, delegado presidencial, control territorial",1.82,2025-04-17 23:36:26,Araucanía Diario,13,moderado,True,GEMINI,medio,3.5,negativo,Abdala descarta que haya zonas en la región sin control del Estado,https://araucaniadiario.cl/default/listar_contenido?p=2
"Chile mantenía una tendencia a la baja en las tasas de incidencia, pero desde la pandemia de COVID-19 se ha observado un repunte tanto a nivel nacional como internacional.",todo público,"salud, tuberculosis, enfermedades infecciosas, chile, pandemia, covid-19, hospital HHHA",2.66,2025-04-17 23:36:26,Araucanía Diario,14,no,True,GEMINI,medio,3.5,neutro,Hospital HHHA detectó 24 casos de tuberculosis en 2024,https://araucaniadiario.cl/default/listar_contenido?p=2
"También culparon al gobernador regional René Saffirio. Exigen una operación sostenida para retomar el control de las ""zonas fuera del Estado"".",+18,"seguridad, política, conflicto, grupos armados, autoridades, control territorial",1.57,2025-04-17 23:36:26,Araucanía Diario,15,sí,True,GEMINI,alto,4.2,negativo,Multigremial acusa al delegado presidencial de permitir zonas bajo control de grupos armados,https://araucaniadiario.cl/default/listar_contenido?p=2
,+13,"conflicto mapuche, La Araucanía, seguridad, territorio, estado de derecho, denuncia, multigremial",23.83,2025-04-17 23:36:26,Araucanía Diario,16,moderado,True,GEMINI,medio,3.5,negativo,Multigremial denuncia que hay 12 mil hectáreas a las que el Estado no puede entrar en La Araucanía,https://araucaniadiario.cl/default/listar_contenido?p=2
"Carlos Fierro Huenuman, junto a los hermanos Isaac y Juan Queipul Quidel, Kevin Rubilar Quiñimil y Javier Melillán Cifuentes fueron condenados a distintas penas.",+13,"delincuencia, robo de vehículos, condena, ercilla, justicia",4.81,2025-04-17 23:36:26,Araucanía Diario,17,sí,True,GEMINI,medio,3.5,negativo,Condenan a último integrante de banda que asaltaba y robaba vehículos en Ercilla,https://araucaniadiario.cl/default/listar_contenido?p=2
"La RADA compartió experiencias y análisis sobre el impacto positivo de las políticas de basura cero en distintos países, donde han demostrado ser una estrategia efectiva para el desarrollo sostenible.",todo público,"Basura Cero, Economía, Medio Ambiente, Desarrollo Sostenible, Políticas Públicas, RADA",2.69,2025-04-17 23:36:26,Araucanía Diario,18,no,True,GEMINI,bajo,4.2,positivo,Conozca los beneficios económicos y ambientales de Basura Cero,https://araucaniadiario.cl/default/listar_contenido?p=2
"Especialista de la UTalca aclaró que se trata de un permiso de residencia temporal vigente desde el 2020 y que, para obtenerlo, hay que cumplir con una serie de requisitos.",todo público,"migración, reunificación familiar, permiso de residencia, UTalca, Chile",4.72,2025-04-17 23:36:26,Araucanía Diario,19,no,True,GEMINI,bajo,3.0,neutro,Qué es el permiso de Reunificación Familiar para migrantes,https://araucaniadiario.cl/default/listar_contenido?p=2
Cientos de parceleros y comuneros mapuche de Temuco y Padre Las Casas no pudieron quemar sus rastrojos debido a la suspensión de quemas de Conaf.,todo público,"agricultura, medio ambiente, política, comunidades indígenas, Temuco, Padre Las Casas, Conaf, quemas, rastrojos",4.85,2025-04-17 23:36:26,Araucanía Diario,20,no,True,GEMINI,medio,2.5,neutro,Diputado Schubert adelanta que buscarán solución para agricultores que no alcanzaron a quemar,https://araucaniadiario.cl/default/listar_contenido?p=2
Se estima que de aquí a 10 años será la primera causa de muerte oncológica en nuestro país.,+13,"salud, cáncer colorrectal, mortalidad, La Araucanía, Chile, oncología, enfermedad, estadísticas, preocupación, pronóstico",1.76,2025-04-17 23:36:26,Araucanía Diario,21,no,True,GEMINI,alto,4.2,negativo,Más de 250 personas habrían muerto por cáncer colorrectal en La Araucanía en 2024,https://araucaniadiario.cl/default/listar_contenido?p=2
"Ubicado en la comuna de Loncoche, el humedal cuenta con aproximadamente 3,07 hectáreas, las cuales albergan mamíferos, anfibios, aves, peces y más de 70 especies de flora.",todo público,"Humedal Urbano, Laguna de Huiscapi, Loncoche, Conservación, Biodiversidad, Medio Ambiente, Flora, Fauna",1.89,2025-04-17 23:36:26,Araucanía Diario,22,no,True,GEMINI,bajo,4.2,positivo,Laguna de Huiscapi logra reconocimiento como Humedal Urbano,https://araucaniadiario.cl/default/listar_contenido?p=2
"En 1990 funcionaban más de 180 incineradoras de basura, hoy sólo quedan 63 operando y se siguen cerrando. Aquí el listado de plantas clausuradas.",todo público,"gestión de residuos, incineración, medio ambiente, cierre de plantas, Estados Unidos, energía, WTE",22.68,2025-04-17 23:36:26,Araucanía Diario,23,no,True,GEMINI,medio,3.5,negativo,Continúa el cierre de plantas para quemar basura WTE en Estados Unidos,https://araucaniadiario.cl/default/listar_contenido?p=2
El legislador resaltó la importancia de este proceso para la provisión de alimentos en la región y manifestó su compromiso en buscar una solución a esta situación.,todo público,"agricultura, reunión, suspensión, quemas agrícolas, legislador, alimentos, compromiso, solución",16.83,2025-04-17 23:36:26,Araucanía Diario,24,no,True,GEMINI,medio,3.0,neutro,Schubert convoca a reunión con agricultores y autoridades por suspensión de quemas agrícolas,https://araucaniadiario.cl/default/listar_contenido?p=2
Este 1 de abril la fundación de Alberto Hurtado inicia una activa campaña para sumar socios que contribuyan a fortalecer y aumentar los servicios de atención domiciliaria de personas mayores.,todo público,"fundación, Hogar de Cristo, personas mayores, pobreza, ayuda social, campaña, socios, atención domiciliaria",2.76,2025-04-17 23:36:26,Araucanía Diario,25,no,True,GEMINI,bajo,4.2,positivo,Hogar de Cristo necesita 10 mil nuevos socios para ayudar a las personas mayores en pobreza,https://araucaniadiario.cl/default/listar_contenido?p=3
Afecta al sistema nervioso central y periférico. Detectar sus síntomas a tiempo se ha transformado en un gran desafío para mejorar la calidad de vida entre quienes la padecen.,todo público,"Parkinson, enfermedad neurodegenerativa, salud, sistema nervioso, calidad de vida, Chile",1.67,2025-04-17 23:36:26,Araucanía Diario,26,no,True,GEMINI,medio,3.5,neutro,Parkinson: la enfermedad neurodegenerativa que afecta a más de 30 mil personas en Chile,https://araucaniadiario.cl/default/listar_contenido?p=3
